r_name,cpp_name,r_type,model_variant,output_when,dims,dim1,dim2,dim3,dim4,dim5
p_total_pop,p_total_pop,REAL,ModelVariant,,3,base.pAG,base.NS,output_years,,
births,births,REAL,ModelVariant,,1,output_years,,,,
p_total_pop_natural_deaths,p_total_pop_natural_deaths,REAL,ModelVariant,,3,base.pAG,base.NS,output_years,,
p_hiv_pop,p_hiv_pop,REAL,HivSimulation,ModelVariant::run_hiv_simulation,3,base.pAG,base.NS,output_years,,
p_hiv_pop_natural_deaths,p_hiv_pop_natural_deaths,REAL,HivSimulation,ModelVariant::run_hiv_simulation,3,base.pAG,base.NS,output_years,,
h_hiv_adult,h_hiv_adult,REAL,HivSimulation,ModelVariant::run_hiv_simulation,4,base.hDS,base.hAG,base.NS,output_years,
h_art_adult,h_art_adult,REAL,HivSimulation,ModelVariant::run_hiv_simulation,5,base.hTS,base.hDS,base.hAG,base.NS,output_years
h_hiv_deaths_no_art,h_hiv_deaths_no_art,REAL,HivSimulation,ModelVariant::run_hiv_simulation,4,base.hDS,base.hAG,base.NS,output_years,
p_infections,p_infections,REAL,HivSimulation,ModelVariant::run_hiv_simulation,3,base.pAG,base.NS,output_years,,
h_hiv_deaths_art,h_hiv_deaths_art,REAL,HivSimulation,ModelVariant::run_hiv_simulation,5,base.hTS,base.hDS,base.hAG,base.NS,output_years
h_art_initiation,h_art_initiation,REAL,HivSimulation,ModelVariant::run_hiv_simulation,4,base.hDS,base.hAG,base.NS,output_years,
p_hiv_deaths,p_hiv_deaths,REAL,HivSimulation,ModelVariant::run_hiv_simulation,3,base.pAG,base.NS,output_years,,
hc1_hiv_pop,hc1_hiv_pop,REAL,ChildModel,ModelVariant::run_child_model,5,children.hc1DS,children.hcTT,children.hc1AG,base.NS,output_years
hc2_hiv_pop,hc2_hiv_pop,REAL,ChildModel,ModelVariant::run_child_model,5,children.hc2DS,children.hcTT,children.hc2AG,base.NS,output_years
hc1_art_pop,hc1_art_pop,REAL,ChildModel,ModelVariant::run_child_model,5,base.hTS,children.hc1DS,children.hc1AG,base.NS,output_years
hc2_art_pop,hc2_art_pop,REAL,ChildModel,ModelVariant::run_child_model,5,base.hTS,children.hc2DS,children.hc2AG,base.NS,output_years
hc1_noart_aids_deaths,hc1_noart_aids_deaths,REAL,ChildModel,ModelVariant::run_child_model,5,children.hc1DS,children.hcTT,children.hc1AG,base.NS,output_years
hc2_noart_aids_deaths,hc2_noart_aids_deaths,REAL,ChildModel,ModelVariant::run_child_model,5,children.hc2DS,children.hcTT,children.hc2AG,base.NS,output_years
hc1_art_aids_deaths,hc1_art_aids_deaths,REAL,ChildModel,ModelVariant::run_child_model,5,base.hTS,children.hc1DS,children.hc1AG,base.NS,output_years
hc2_art_aids_deaths,hc2_art_aids_deaths,REAL,ChildModel,ModelVariant::run_child_model,5,base.hTS,children.hc2DS,children.hc2AG,base.NS,output_years
hiv_births,hiv_births,REAL,ChildModel,ModelVariant::run_child_model,1,output_years,,,,
hc_art_init,hc_art_init,REAL,ChildModel,ModelVariant::run_child_model,2,children.hcAG_coarse,output_years,,,
hc_art_need_init,hc_art_need_init,REAL,ChildModel,ModelVariant::run_child_model,5,children.hc1DS,children.hcTT,children.hcAG_end,base.NS,output_years
ctx_need,ctx_need,REAL,ChildModel,ModelVariant::run_child_model,1,output_years,,,,
ctx_mean,ctx_mean,REAL,ChildModel,ModelVariant::run_child_model,1,output_years,,,,
